ID,ADI,DURAK_KODU,geometry
508912,YEŞİLPARK,127242,POINT (28.6724399999742 41.085679000567)
508918,YASEMEN EVLERİ,127282,POINT (28.6618709999733 41.0855040005669)
508921,TEPE ÜSTÜ,127461,POINT (28.75172299998 41.0721820005649)
508924,BOĞAZKÖY  ORTAOKULU,127482,POINT (28.6615479999734 41.0804860005661)
508926,ŞAHİN SOKAK,127502,POINT (28.7225049999781 41.0742150005652)
508927,BİZİMÇATI EVLERİ,127531,POINT (28.6640139999736 41.0768080005655)
579626,EMİNÖNÜ,315031,POINT (28.9654140000115 41.0200679991164)
578690,GÜMRÜK BÖLGE MÜDÜRLÜĞÜ,226441,POINT (29.134017999992 40.9827820005511)
578528,DURSUNBEY CADDESİ,209691,POINT (29.1592769999924 40.9904580005523)
578579,UYDUKENT,211452,POINT (29.133556999992 40.9863910005517)
578826,ESATPAŞA,403161,POINT (29.0862209999912 41.0075070005551)
578529,DURSUNBEY CADDESİ,209692,POINT (29.1588609999924 40.9912010005525)
579320,DÖKÜMCÜLER CADDESİ,186051,POINT (28.907991999987 41.0484900005615)
511235,ŞAİR ABAY LİSESİ,108812,POINT (28.8997909999866 41.0993580005696)
658613,YAVUZ SULTAN SELİM KÖPRÜSÜ GİRİŞİ,260752,POINT (29.2689500000096 41.0036789991168)
658638,SULTANBEYLİ DEVLET HASTANESİ,261121,POINT (29.2842600000094 40.9864169991172)
511104,ESENLER METRO,301271,POINT (28.8877959999864 41.0368100005595)
510036,REYHAN CADDESİ,132291,POINT (28.7867069999822 40.9926810005523)
510810,ACIBADEM KÖPRÜSÜ,225591,POINT (29.0419489999905 41.0023660005542)
511100,DAVUTPAŞA,175941,POINT (28.8992659999868 41.0196850005568)
578885,BOZKURT - ŞEHİT VOLKAN DUYSAK,109181,POINT (28.8933109999867 40.9890530005519)
578917,ŞEHİTLER PARKI,110452,POINT (28.9104379999872 41.008360000555)
510847,TAŞ MEKTEP,226081,POINT (29.0716209999911 40.9687860005489)
579157,BASIN TESİSLERİ,127131,POINT (28.8457769999847 41.058730000563)
578979,İSTOÇ OTO MARKET,102881,POINT (28.8324279999841 41.0658490005641)
511424,KEMAL ŞEKER BULVARI,109022,POINT (28.9074800000113 41.0763479991151)
510277,NADİRE CADDESİ,211611,POINT (29.1606229999925 40.9240260005418)
578394,ABDURRAHMAN NAFİZ GÜRMAN MAHALLESİ,129241,POINT (28.8928889999866 41.0056620005546)
510403,KADİR HAS ANADOLU LİSESİ,225692,POINT (29.1176289999919 40.9528710005463)
578565,ATATÜRK BULVARI,210672,POINT (29.1923769999928 40.9828790005512)
509697,KATI ATIK TESİSLERİ,101871,POINT (28.7591589999805 41.0433760005604)
578700,YENİŞEHİR PAZAR YERİ,226482,POINT (29.1476469999922 40.9895780005522)
578455,ATAŞEHİR BULVARI,205741,POINT (29.1143199999916 40.9917110005525)
510010,ALTINŞEHİR MEZARLIĞI,131771,POINT (28.7547489999802 41.0602080005631)
509933,OSMANGAZİ,127172,POINT (28.7934889999824 41.0329630005587)
510685,ŞEHİT ÇAĞLAR MENGÜ,211421,POINT (29.0522079999907 40.9929040005527)
511071,ATIŞALANI ANADOLU LİSESİ,127821,POINT (28.8761089999859 41.0557120005626)
